[2026-02-28 13:01:47] CRITICAL: 內存=41%, Swap=0%, 硬碟=85%, Chrome=34
[2026-02-28 14:01:47] CRITICAL: 內存=35%, Swap=0%, 硬碟=85%, Chrome=18
[2026-02-28 15:01:47] CRITICAL: 內存=40%, Swap=0%, 硬碟=85%, Chrome=33
[2026-02-28 16:01:46] CRITICAL: 內存=41%, Swap=0%, 硬碟=85%, Chrome=34
[2026-02-28 17:02:19] CRITICAL: 內存=44%, Swap=0%, 硬碟=85%, Chrome=36
[2026-02-28 18:02:47] CRITICAL: 內存=37%, Swap=0%, 硬碟=85%, Chrome=19
[2026-02-28 19:04:41] CRITICAL: 內存=41%, Swap=0%, 硬碟=85%, Chrome=34
[2026-02-28 20:05:12] CRITICAL: 內存=40%, Swap=0%, 硬碟=85%, Chrome=33
[2026-02-28 21:05:42] CRITICAL: 內存=41%, Swap=0%, 硬碟=85%, Chrome=34
[2026-02-28 22:06:16] CRITICAL: 內存=35%, Swap=0%, 硬碟=85%, Chrome=18
[2026-02-28 23:06:41] CRITICAL: 內存=39%, Swap=0%, 硬碟=85%, Chrome=33
[2026-03-01 00:07:14] CRITICAL: 內存=35%, Swap=0%, 硬碟=85%, Chrome=18
[2026-03-01 01:07:41] CRITICAL: 內存=40%, Swap=0%, 硬碟=85%, Chrome=33
[2026-03-01 02:08:11] CRITICAL: 內存=40%, Swap=0%, 硬碟=85%, Chrome=34
[2026-03-01 03:08:41] CRITICAL: 內存=40%, Swap=0%, 硬碟=85%, Chrome=33
[2026-03-01 04:09:13] CRITICAL: 內存=36%, Swap=0%, 硬碟=85%, Chrome=18
[2026-03-01 05:09:41] CRITICAL: 內存=36%, Swap=0%, 硬碟=85%, Chrome=18
[2026-03-01 06:10:10] CRITICAL: 內存=36%, Swap=0%, 硬碟=85%, Chrome=18
[2026-03-01 07:10:40] CRITICAL: 內存=34%, Swap=0%, 硬碟=85%, Chrome=18
[2026-03-01 08:11:18] CRITICAL: 內存=41%, Swap=0%, 硬碟=85%, Chrome=34
[2026-03-01 09:11:42] CRITICAL: 內存=41%, Swap=0%, 硬碟=85%, Chrome=34
[2026-03-01 10:12:11] CRITICAL: 內存=45%, Swap=0%, 硬碟=85%, Chrome=36
[2026-03-01 11:12:41] CRITICAL: 內存=36%, Swap=0%, 硬碟=85%, Chrome=30
[2026-03-01 12:13:10] CRITICAL: 內存=39%, Swap=0%, 硬碟=85%, Chrome=34
[2026-03-01 13:13:44] CRITICAL: 內存=42%, Swap=0%, 硬碟=85%, Chrome=36
[2026-03-01 14:14:11] CRITICAL: 內存=48%, Swap=0%, 硬碟=85%, Chrome=38
[2026-03-01 15:14:41] CRITICAL: 內存=49%, Swap=0%, 硬碟=86%, Chrome=39
[2026-03-01 16:15:12] CRITICAL: 內存=52%, Swap=0%, 硬碟=86%, Chrome=40
[2026-03-01 17:15:41] WARNING: 內存=51%, Swap=0%, 硬碟=78%, Chrome=40
[2026-03-01 18:16:11] WARNING: 內存=51%, Swap=0%, 硬碟=78%, Chrome=40
[2026-03-01 19:16:41] WARNING: 內存=53%, Swap=0%, 硬碟=78%, Chrome=40
