出表日期,資料年月,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
"1150317","11502","1101","台泥","水泥工業","8593689","12252892","9123490","-29.86399455736654","-5.8069992952258405","20846581","21336840","-2.2977113761925385","-"
"1150317","11502","1102","亞泥","水泥工業","3493115","5986964","4184371","-41.654651673201975","-16.519950071348838","9480079","10062045","-5.783774570676239","-"
"1150317","11502","1103","嘉泥","水泥工業","188835","256819","218169","-26.4715616835203","-13.445539925470621","445654","486172","-8.334087524579779","-"
"1150317","11502","1104","環泥","水泥工業","460060","718229","538636","-35.94522081397437","-14.587959215499893","1178289","1226440","-3.9260787319395973","-"
"1150317","11502","1108","幸福","水泥工業","259157","374664","356169","-30.829489889607757","-27.23763157377537","633821","804398","-21.205547502604432","-"
"1150317","11502","1109","信大","水泥工業","167550","373777","238647","-55.17380684204753","-29.791700712768233","541327","543202","-0.3451754595896186","-"
"1150317","11502","1110","東泥","水泥工業","159417","198691","228781","-19.766370897524297","-30.318951311516255","358108","465570","-23.081813690744678","-"
"1150317","11502","1201","味全","食品工業","1640170","1676231","1529280","-2.151314466800817","7.251124712282905","3316401","3442294","-3.657241362881846","-"
"1150317","11502","1203","味王","食品工業","386214","461815","470623","-16.370408063835086","-17.93558750847281","848029","1010885","-16.11024003719513","-"
"1150317","11502","1210","大成","食品工業","7628102","9726934","8087375","-21.577528952082947","-5.678888390856119","17355036","16771965","3.4764620603489216","-"
"1150317","11502","1213","大飲","食品工業","29013","24751","24067","17.219506282574443","20.550961898034654","53764","46447","15.75343940405193","-"
"1150317","11502","1215","卜蜂","食品工業","2030010","2634849","2030712","-22.955357214018715","-0.034569156039852035","4664859","4361729","6.9497669387529575","-"
"1150317","11502","1216","統一","食品工業","51532816","66104462","47574945","-22.04336221660801","8.319234000165423","117637278","113330461","3.8002289605086843","-"
"1150317","11502","1217","愛之味","食品工業","319659","462021","313901","-30.81288512859805","1.8343363034842195","781680","783035","-0.17304462763478007","-"
"1150317","11502","1218","泰山","食品工業","837121","943672","786116","-11.291105384074127","6.488228200418259","1780793","1673833","6.390123745917305","-"
"1150317","11502","1219","福壽","食品工業","1059567","1271934","1162280","-16.696385189797585","-8.837199297931651","2331501","2341159","-0.4125307166236894","-"
"1150317","11502","1220","台榮","食品工業","183280","288493","270707","-36.46986235367929","-32.29580321159039","471773","489613","-3.643694101259566","-"
"1150317","11502","1225","福懋油","食品工業","889099","1313398","1068503","-32.30543978291424","-16.79021958759124","2202497","2158758","2.0261187219688357","-"
"1150317","11502","1227","佳格","食品工業","1872242","3796317","1605125","-50.68267481351004","16.641507670742154","5668559","4873756","16.30781270133343","-"
"1150317","11502","1229","聯華","食品工業","687463","996429","789043","-31.007327165307313","-12.873823099628284","1683892","1653244","1.8538098429511918","-"
"1150317","11502","1231","聯華食","食品工業","1103687","1271114","834848","-13.171674609830433","32.20214937329909","2374801","2124317","11.79127220654921","-"
"1150317","11502","1232","大統益","食品工業","1661070","2213265","1633429","-24.949339550392747","1.6922070074671136","3874334","3461769","11.917750722246343","-"
"1150317","11502","1233","天仁","食品工業","200044","198102","161766","0.9803030761930722","23.66257433576895","398146","382004","4.225610203034523","-"
"1150317","11502","1234","黑松","食品工業","805443","794428","777480","1.3865321967503663","3.59661984874209","1599871","1620011","-1.2432014350519842","-"
"1150317","11502","1235","興泰","食品工業","15848","23862","1746","-33.58477914676054","807.6746849942726","39710","10353","283.56032067999615","泰宇網通累計1-2月營收較去年同期增加 29,491仟元"
"1150317","11502","1236","宏亞","食品工業","138565","303656","87822","-54.367771425560505","57.77937191136617","442221","382900","15.492556803342909","本月業績大幅成長主因：農曆新年節慶挪移影響，使得今年度大量出貨落點在115/01-115/02，去年度則落在113/12-114/01。"
"1150317","11502","1256","鮮活果汁-KY","食品工業","336653","448137","179442","-24.87721388771737","87.61103866430379","784790","508292","54.3974723190607","春節假期，直飲產品銷量增加，致本月營收較去年同期成長。"
"1150317","11502","1301","台塑","塑膠工業","10739649","13891082","16129819","-22.68673527375333","-33.41742396489384","24630731","30109841","-18.19707384040985","-"
"1150317","11502","1303","南亞","塑膠工業","18556362","22872625","22080604","-18.87086856012373","-15.960804333069875","41428987","42538893","-2.609155814186326","-"
"1150317","11502","1304","台聚","塑膠工業","2843587","3583459","4165011","-20.64686661686376","-31.72678295447479","6427046","7850792","-18.135062042148103","-"
"1150317","11502","1305","華夏","塑膠工業","785281","806175","850423","-2.5917449685242038","-7.659952752924133","1591456","1625769","-2.110570443894551","-"
"1150317","11502","1307","三芳","塑膠工業","789802","1151903","949002","-31.43502534501603","-16.775517859814837","1941705","1908990","1.7137334401961246","-"
"1150317","11502","1308","亞聚","塑膠工業","377128","448082","532521","-15.835048049240987","-29.180633252021988","825210","969971","-14.924260622224788","-"
"1150317","11502","1309","台達化","塑膠工業","824009","1135298","1445653","-27.419144577018546","-43.000913773913936","1959307","2730681","-28.248411293739547","-"
"1150317","11502","1310","台苯","塑膠工業","624367","705741","720506","-11.530292274361274","-13.34326154119466","1330108","1598061","-16.76738247163281","-"
"1150317","11502","1312","國喬","塑膠工業","2072655","2321933","1791123","-10.735796424789173","15.718183508335274","4394588","3050187","44.07601894572365","-"
"1150317","11502","1313","聯成","塑膠工業","2565385","5300917","4286677","-51.604882702370176","-40.154459969808784","7883138","8670693","-9.082953346404953","-"
"1150317","11502","1314","中石化","塑膠工業","1098234","1589699","2035647","-30.915601003712023","-46.04987996445356","2687933","4397766","-38.87958113278424","-"
"1150317","11502","1315","達新","塑膠工業","144318","126246","184467","14.314908987215437","-21.764868513067377","270564","386710","-30.034392697370123","-"
"1150317","11502","1316","上曜","建材營造","520392","718541","249447","-27.576575310246735","108.61826359908116","1238933","464905","166.4916488314817","主因子公司營收上升，致本月及本年度營收較去年同期增加。"
"1150317","11502","1319","東陽","汽車工業","1434755","2150642","2508735","-33.28713007557743","-42.80962317662089","3585397","4738762","-24.338951819061602","-"
"1150317","11502","1321","大洋","塑膠工業","194063","330086","304849","-41.20835176287392","-36.34127059626241","524326","631084","-16.916606981004115","-"
"1150317","11502","1323","永裕","塑膠工業","149301","179252","143000","-16.708879119898242","4.406293706293706","328554","332115","-1.0722189602998962","-"
"1150317","11502","1324","地球","塑膠工業","36917","59958","62235","-38.428566663331","-40.681288663935085","96875","117082","-17.258844228831077","-"
"1150317","11502","1325","恆大","塑膠工業","14835","24322","23183","-39.005838335663185","-36.0091446318423","39157","52406","-25.281456321795215","-"
"1150317","11502","1326","台化","塑膠工業","22981250","25040014","27143490","-8.221896361559542","-15.334210891819733","48021264","51162657","-6.140011454057205","-"
"1150317","11502","1337","再生-KY","塑膠工業","36192","54359","61049","-33.42040876395813","-40.716473652312075","90551","136662","-33.74090822613455","-"
"1150317","11502","1338","廣華-KY","汽車工業","284407","416618","387589","-31.734346571679573","-26.62149854614037","702533","839610","-16.32627053036529","-"
"1150317","11502","1339","昭輝","汽車工業","110249","144002","155805","-23.439257788086277","-29.239112993806362","254321","311823","-18.440589693512024","-"
